"bins","max","mid","min","LPT_area","MaxSSS_area","stage"
3,50,40,30,7918062.33142934,2888745.10145809,"Priabonian"
4,30,20,10,15828377.855483,15806933.946005,"Priabonian"
5,10,0,-10,7863481.53975416,7863481.53975416,"Priabonian"
6,-10,-20,-30,6053322.1476954,5883167.17601895,"Priabonian"
7,-30,-40,-50,4312898.47428683,1827914.42330567,"Priabonian"
8,-50,-60,-70,0,0,"Priabonian"
9,-70,-80,-90,0,0,"Priabonian"
1,90,80,70,0,0,"Rhaetian"
2,70,60,50,98436.1687234192,0,"Rhaetian"
3,50,40,30,6110359.25090918,2692198.39468939,"Rhaetian"
4,30,20,10,12378406.3054865,11120832.5330407,"Rhaetian"
5,10,0,-10,5852570.63904609,5852570.63904609,"Rhaetian"
6,-10,-20,-30,6751496.70913308,4437426.35654393,"Rhaetian"
7,-30,-40,-50,934251.675950639,0,"Rhaetian"
8,-50,-60,-70,0,0,"Rhaetian"
9,-70,-80,-90,0,0,"Rhaetian"
1,90,80,70,0,0,"Rupelian"
2,70,60,50,0,0,"Rupelian"
3,50,40,30,4889585.70748312,1016993.6025495,"Rupelian"
4,30,20,10,11984209.535129,11693582.6319886,"Rupelian"
5,10,0,-10,7313417.69758194,7313417.69758194,"Rupelian"
6,-10,-20,-30,6710936.98769104,6544459.46984902,"Rupelian"
7,-30,-40,-50,3805102.13359028,1649524.27217714,"Rupelian"
8,-50,-60,-70,0,0,"Rupelian"
9,-70,-80,-90,0,0,"Rupelian"
1,90,80,70,0,0,"Santonian"
2,70,60,50,0,0,"Santonian"
3,50,40,30,9201383.65267219,3656733.16974608,"Santonian"
4,30,20,10,13888935.9002833,13866180.5628032,"Santonian"
5,10,0,-10,8150241.42274493,8150241.42274493,"Santonian"
6,-10,-20,-30,7778038.4837467,7676533.90709866,"Santonian"
7,-30,-40,-50,6108324.50275826,2554177.56985272,"Santonian"
8,-50,-60,-70,0,0,"Santonian"
9,-70,-80,-90,0,0,"Santonian"
1,90,80,70,0,0,"Selandian"
2,70,60,50,0,0,"Selandian"
3,50,40,30,7864960.51095645,2322810.10981062,"Selandian"
4,30,20,10,14749041.0343383,14576358.9288826,"Selandian"
5,10,0,-10,13429977.6205436,13429977.6205436,"Selandian"
6,-10,-20,-30,6026462.17440823,5981118.5175208,"Selandian"
7,-30,-40,-50,6548073.05821873,2019718.37323528,"Selandian"
8,-50,-60,-70,0,0,"Selandian"
9,-70,-80,-90,0,0,"Selandian"
1,90,80,70,0,0,"Serravallian"
2,70,60,50,0,0,"Serravallian"
3,50,40,30,3171941.94511212,158673.81595148,"Serravallian"
4,30,20,10,9468587.45064367,8362321.56529269,"Serravallian"
5,10,0,-10,10912997.6410873,10900793.1690261,"Serravallian"
6,-10,-20,-30,8869024.44618163,8524241.428069,"Serravallian"
7,-30,-40,-50,4328380.13667897,1129295.25787186,"Serravallian"
8,-50,-60,-70,0,0,"Serravallian"
9,-70,-80,-90,0,0,"Serravallian"
1,90,80,70,0,0,"Sinemurian"
2,70,60,50,212233.472650556,0,"Sinemurian"
3,50,40,30,11206996.3685855,4873510.91153514,"Sinemurian"
4,30,20,10,8834026.56905594,8012972.87519618,"Sinemurian"
5,10,0,-10,5363312.28570326,5363312.28570326,"Sinemurian"
6,-10,-20,-30,5149994.27155238,3971298.12219462,"Sinemurian"
7,-30,-40,-50,871098.417217321,116434.265536086,"Sinemurian"
8,-50,-60,-70,0,0,"Sinemurian"
9,-70,-80,-90,0,0,"Sinemurian"
1,90,80,70,0,0,"Thanetian"
2,70,60,50,0,0,"Thanetian"
3,50,40,30,6795185.84425685,1977469.91762692,"Thanetian"
4,30,20,10,15575187.7367844,15478275.3382064,"Thanetian"
5,10,0,-10,12208885.0236327,12208885.0236327,"Thanetian"
6,-10,-20,-30,5416424.40286107,5189617.81306789,"Thanetian"
7,-30,-40,-50,5023699.3939157,1830866.90177157,"Thanetian"
8,-50,-60,-70,0,0,"Thanetian"
9,-70,-80,-90,0,0,"Thanetian"
