"bins","max","mid","min","sst","dem","stage"
5,10,0,-10,30.0514862692568,4133546.73180297,"Bajocian"
6,-10,-20,-30,25.0280721860054,6367859.16186853,"Bajocian"
7,-30,-40,-50,13.84249050764,5852019.09320296,"Bajocian"
8,-50,-60,-70,3.73739336513647,1283746.98657456,"Bajocian"
9,-70,-80,-90,0.281170741116482,1467569.04509726,"Bajocian"
1,90,80,70,-1.37237619457742,4680957.84554287,"Barremian"
2,70,60,50,1.58349721926621,6744745.65423305,"Barremian"
3,50,40,30,15.4225485636372,11275988.2610392,"Barremian"
4,30,20,10,25.5916617369519,16363854.8560818,"Barremian"
5,10,0,-10,29.5936417699192,4391524.36406245,"Barremian"
6,-10,-20,-30,25.988699307071,4273448.18200612,"Barremian"
7,-30,-40,-50,17.0394694832001,7331317.84773952,"Barremian"
8,-50,-60,-70,4.17847667121952,9486291.10205518,"Barremian"
9,-70,-80,-90,-0.00709644880827884,2057528.58062482,"Barremian"
1,90,80,70,-1.57634989417747,4925921.50301599,"Bartonian"
2,70,60,50,3.75960744131856,9440974.67027289,"Bartonian"
3,50,40,30,16.413034370321,14801983.087138,"Bartonian"
4,30,20,10,27.4044105546891,17891513.2331797,"Bartonian"
5,10,0,-10,30.9747684596135,7959496.6495322,"Bartonian"
6,-10,-20,-30,26.2951464703421,5355558.80133727,"Bartonian"
7,-30,-40,-50,18.9067357302042,6747344.22419804,"Bartonian"
8,-50,-60,-70,8.01510341848948,6473343.65965561,"Bartonian"
9,-70,-80,-90,2.37164450126435,2087625.14145871,"Bartonian"
1,90,80,70,-0.552740332722033,4069047.22590102,"Bathonian"
2,70,60,50,4.580704184,6735437.75107851,"Bathonian"
3,50,40,30,17.852993457356,15298585.6759309,"Bathonian"
4,30,20,10,27.5904051059985,15095968.544441,"Bathonian"
5,10,0,-10,30.3055653619608,3684613.42030889,"Bathonian"
6,-10,-20,-30,24.6315459569295,6538972.31706853,"Bathonian"
7,-30,-40,-50,13.0592766953672,6753776.3219118,"Bathonian"
8,-50,-60,-70,4.37601977155124,1012446.89130012,"Bathonian"
9,-70,-80,-90,-1.07769070525202,1442884.33280302,"Bathonian"
1,90,80,70,0.175149777141818,5750402.67627555,"Berriasian"
2,70,60,50,4.60590001731289,10980793.6637625,"Berriasian"
3,50,40,30,17.2682181214578,9079568.46402439,"Berriasian"
4,30,20,10,26.7435146622036,12647290.5655561,"Berriasian"
5,10,0,-10,30.925242751345,7420146.22672044,"Berriasian"
6,-10,-20,-30,25.833581662811,5165272.61163346,"Berriasian"
7,-30,-40,-50,14.474518409032,9318703.81881942,"Berriasian"
8,-50,-60,-70,4.8387620206963,5225609.22793745,"Berriasian"
9,-70,-80,-90,-0.0961218486184911,2005540.79644023,"Berriasian"
1,90,80,70,-1.63366911213408,3663954.61938013,"Burdigalian"
2,70,60,50,0.221493670716004,6637311.13522313,"Burdigalian"
3,50,40,30,8.63300279795185,11256421.5682693,"Burdigalian"
4,30,20,10,23.7063098292969,11013783.9665332,"Burdigalian"
5,10,0,-10,27.8875681037145,9248808.93996591,"Burdigalian"
6,-10,-20,-30,25.1527529879077,9003436.67845336,"Burdigalian"
7,-30,-40,-50,16.5603364244063,6853525.30919432,"Burdigalian"
8,-50,-60,-70,5.86866758555481,3337593.89458636,"Burdigalian"
9,-70,-80,-90,1.74144254406276,2196316.05832731,"Burdigalian"
1,90,80,70,-0.271342798185497,4075577.02277067,"Callovian"
2,70,60,50,5.12659651796833,8633569.64472819,"Callovian"
3,50,40,30,17.3972074847032,16456886.7387879,"Callovian"
4,30,20,10,27.6768761634094,14966975.0307249,"Callovian"
5,10,0,-10,30.8050836089932,4788081.01666122,"Callovian"
6,-10,-20,-30,24.8030568020956,7171801.34957832,"Callovian"
7,-30,-40,-50,14.1426889261133,7204943.12871545,"Callovian"
8,-50,-60,-70,5.38363049325921,1312243.64002197,"Callovian"
9,-70,-80,-90,-1.03255649435107,1572170.35107314,"Callovian"
1,90,80,70,-1.29772464479153,6062592.06182863,"Campanian"
2,70,60,50,1.18983095727013,10351876.8238111,"Campanian"
3,50,40,30,14.8555453755263,18544195.3958933,"Campanian"
4,30,20,10,26.793385623636,16450923.1678705,"Campanian"
5,10,0,-10,30.0296435914141,9208324.51727599,"Campanian"
6,-10,-20,-30,26.3333743221458,7950305.94191562,"Campanian"
7,-30,-40,-50,16.8479857058811,7232487.26234097,"Campanian"
8,-50,-60,-70,2.29041766915163,5242915.00241555,"Campanian"
9,-70,-80,-90,-0.956358066365896,3572252.36872241,"Campanian"
1,90,80,70,-0.482781639088884,1627425.70910572,"Carnian"
2,70,60,50,7.05588573017459,7977618.88945091,"Carnian"
3,50,40,30,18.4760621886858,10787949.6271428,"Carnian"
4,30,20,10,24.4091850807571,11687951.5940245,"Carnian"
5,10,0,-10,27.5510585520242,8122666.99832105,"Carnian"
6,-10,-20,-30,21.0132204297223,9091903.18939583,"Carnian"
7,-30,-40,-50,12.7767141956679,2084130.78762901,"Carnian"
8,-50,-60,-70,-0.122556392886003,1552737.54241555,"Carnian"
9,-70,-80,-90,-0.95470502078191,1004346.99226437,"Carnian"
1,90,80,70,-1.42074234121035,6199955.32804894,"Cenomanian"
2,70,60,50,2.57295806128018,11680014.9525808,"Cenomanian"
3,50,40,30,16.0296385598692,18265999.8255726,"Cenomanian"
4,30,20,10,27.1733358430377,15801635.2179055,"Cenomanian"
5,10,0,-10,31.0895596375599,9630189.24302054,"Cenomanian"
6,-10,-20,-30,27.1443354890153,6719911.51899075,"Cenomanian"
7,-30,-40,-50,16.5990121389452,9921484.12618799,"Cenomanian"
8,-50,-60,-70,3.51477315728621,5628713.93538934,"Cenomanian"
9,-70,-80,-90,0.972378897460404,2911409.50897343,"Cenomanian"
1,90,80,70,-1.64908933621172,3063443.84056529,"Chattian"
2,70,60,50,2.22507079344145,6450728.87655426,"Chattian"
3,50,40,30,12.7706694836299,12181668.769282,"Chattian"
4,30,20,10,25.2490440074594,10870730.824085,"Chattian"
5,10,0,-10,29.0820678230984,7498538.17334718,"Chattian"
6,-10,-20,-30,25.3989452507064,7794897.92790349,"Chattian"
7,-30,-40,-50,17.1215978768279,7757703.57350664,"Chattian"
8,-50,-60,-70,7.67133950355075,4852159.82810995,"Chattian"
9,-70,-80,-90,2.40720060138877,2180083.13724962,"Chattian"
1,90,80,70,-1.39179624617339,7060536.61453435,"Coniacian"
2,70,60,50,2.25843044067686,11803002.9607915,"Coniacian"
3,50,40,30,15.008469801886,18477943.9655872,"Coniacian"
4,30,20,10,26.8931898916014,15574165.7704747,"Coniacian"
5,10,0,-10,30.4391062429261,8787183.61008745,"Coniacian"
6,-10,-20,-30,27.2042990103237,6673445.52452074,"Coniacian"
7,-30,-40,-50,18.2215393393423,9150336.45763309,"Coniacian"
8,-50,-60,-70,3.4460935389586,5098875.86482451,"Coniacian"
9,-70,-80,-90,1.04399396973754,3191213.40255249,"Coniacian"
1,90,80,70,-1.55083204010456,3820981.01794601,"Danian"
2,70,60,50,1.7933689717472,5550256.55252375,"Danian"
3,50,40,30,14.7624664317914,14899895.5784114,"Danian"
4,30,20,10,25.815797882805,14401336.256662,"Danian"
5,10,0,-10,30.6222924547583,11162671.7712121,"Danian"
6,-10,-20,-30,26.8848671178102,5792872.70036428,"Danian"
7,-30,-40,-50,17.2482510392935,8496045.2463239,"Danian"
8,-50,-60,-70,4.76422081318728,7953471.71154523,"Danian"
9,-70,-80,-90,0.0317394591685664,2113078.82128561,"Danian"
1,90,80,70,-1.55244058947,6650074.4137134,"Hauterivian"
2,70,60,50,2.45881635275913,8438413.00050585,"Hauterivian"
3,50,40,30,15.1940202740925,9804666.37779591,"Hauterivian"
4,30,20,10,25.4429670414935,15350955.6912101,"Hauterivian"
5,10,0,-10,29.8742058808776,5322266.00036587,"Hauterivian"
6,-10,-20,-30,25.4481464498183,3893329.51477276,"Hauterivian"
7,-30,-40,-50,16.4479169516486,6194728.09719722,"Hauterivian"
8,-50,-60,-70,3.56540703090076,9333015.70670458,"Hauterivian"
9,-70,-80,-90,-1.019302976529,1473430.51539652,"Hauterivian"
1,90,80,70,-1.14206893492984,1672360.4957969,"Hettangian"
2,70,60,50,4.13635444100993,10115982.8971016,"Hettangian"
3,50,40,30,16.7602276036317,14676082.4060093,"Hettangian"
4,30,20,10,25.0090580891033,8169081.5352985,"Hettangian"
5,10,0,-10,26.4776828962696,4982208.83185472,"Hettangian"
6,-10,-20,-30,21.4256944862471,5811976.54061574,"Hettangian"
7,-30,-40,-50,11.8613982383536,1816493.49562976,"Hettangian"
8,-50,-60,-70,2.04353113913246,1650926.79110268,"Hettangian"
9,-70,-80,-90,-1.52803130064343,980805.897632917,"Hettangian"
1,90,80,70,0.421297630929649,4242228.35562166,"Kimmeridgian"
2,70,60,50,5.64391818994843,10962508.7528862,"Kimmeridgian"
3,50,40,30,17.5162035293776,14696166.813672,"Kimmeridgian"
4,30,20,10,28.0006119675313,14800160.9518224,"Kimmeridgian"
5,10,0,-10,31.3050430249825,6810662.67462884,"Kimmeridgian"
6,-10,-20,-30,25.2312462996889,7921193.4691497,"Kimmeridgian"
7,-30,-40,-50,15.2417403943718,8984001.76864558,"Kimmeridgian"
8,-50,-60,-70,6.35787253563699,4191740.16773269,"Kimmeridgian"
9,-70,-80,-90,-1.00561578816781,2328313.61030483,"Kimmeridgian"
1,90,80,70,0.504894715488445,1827355.20171362,"Ladinian"
2,70,60,50,6.95674539820408,6278386.43222084,"Ladinian"
3,50,40,30,16.5282881422368,9395868.33343645,"Ladinian"
4,30,20,10,24.6653390589513,13882816.1441792,"Ladinian"
5,10,0,-10,28.2720526630572,8487802.93874957,"Ladinian"
6,-10,-20,-30,20.9132465602845,8727063.19073375,"Ladinian"
7,-30,-40,-50,12.3328152200219,3114783.12845583,"Ladinian"
8,-50,-60,-70,0.953450739092943,1128534.527565,"Ladinian"
9,-70,-80,-90,-0.934042463375212,1343492.58272847,"Ladinian"
1,90,80,70,-1.62891732868585,3686609.7117699,"Langhian"
