x,y,stage
-54.5,26.5,Pliensbachian
4.5,26.5,Pliensbachian
5.5,25.5,Pliensbachian
6.5,25.5,Pliensbachian
28.5,47.5,Priabonian
6.5,43.5,Priabonian
12.5,43.5,Priabonian
9.5,41.5,Priabonian
10.5,41.5,Priabonian
10.5,40.5,Priabonian
120.5,14.5,Priabonian
-80.5,12.5,Priabonian
-79.5,12.5,Priabonian
-84.5,7.5,Priabonian
114.5,0.5,Priabonian
-156.5,-30.5,Priabonian
85.5,62.5,Rhaetian
66.5,55.5,Rhaetian
69.5,53.5,Rhaetian
18.5,45.5,Rhaetian
18.5,44.5,Rhaetian
17.5,43.5,Rhaetian
16.5,40.5,Rhaetian
15.5,39.5,Rhaetian
14.5,38.5,Rhaetian
130.5,31.5,Rhaetian
13.5,27.5,Rhaetian
14.5,27.5,Rhaetian
17.5,27.5,Rhaetian
-90.5,21.5,Rhaetian
-82.5,2.5,Rhaetian
91.5,-19.5,Rhaetian
9.5,41.5,Rupelian
10.5,41.5,Rupelian
6.5,40.5,Rupelian
21.5,39.5,Rupelian
11.5,37.5,Rupelian
-1.5,36.5,Rupelian
-4.5,35.5,Rupelian
-5.5,34.5,Rupelian
17.5,34.5,Rupelian
14.5,25.5,Rupelian
-69.5,18.5,Rupelian
-87.5,16.5,Rupelian
-66.5,13.5,Rupelian
-80.5,12.5,Rupelian
122.5,5.5,Rupelian
45.5,3.5,Rupelian
6.5,37.5,Santonian
8.5,37.5,Santonian
4.5,35.5,Santonian
18.5,30.5,Santonian
28.5,24.5,Santonian
36.5,28.5,Selandian
15.5,46.5,Serravallian
1.5,39.5,Serravallian
136.5,36.5,Serravallian
-1.5,34.5,Serravallian
-71.5,18.5,Serravallian
-69.5,16.5,Serravallian
-84.5,8.5,Serravallian
115.5,1.5,Serravallian
109.5,-5.5,Serravallian
110.5,-5.5,Serravallian
147.5,-9.5,Serravallian
-171.5,-20.5,Serravallian
147.5,-23.5,Serravallian
147.5,-24.5,Serravallian
95.5,59.5,Sinemurian
95.5,58.5,Sinemurian
20.5,36.5,Sinemurian
20.5,35.5,Sinemurian
1.5,21.5,Sinemurian
-33.5,-25.5,Sinemurian
15.5,44.5,Thanetian
16.5,44.5,Thanetian
17.5,44.5,Thanetian
14.5,43.5,Thanetian
15.5,42.5,Thanetian
17.5,42.5,Thanetian
14.5,41.5,Thanetian
17.5,41.5,Thanetian
16.5,36.5,Thanetian
-69.5,32.5,Thanetian
14.5,32.5,Thanetian
32.5,29.5,Thanetian
17.5,19.5,Thanetian
43.5,19.5,Thanetian
23.5,16.5,Thanetian
25.5,15.5,Thanetian
-88.5,8.5,Thanetian
39.5,-0.5,Thanetian
58.5,-3.5,Thanetian
154.5,52.5,Tithonian
155.5,52.5,Tithonian
53.5,35.5,Tithonian
31.5,34.5,Tithonian
33.5,34.5,Tithonian
50.5,34.5,Tithonian
30.5,33.5,Tithonian
31.5,33.5,Tithonian
32.5,33.5,Tithonian
44.5,33.5,Tithonian
55.5,33.5,Tithonian
56.5,33.5,Tithonian
57.5,33.5,Tithonian
29.5,32.5,Tithonian
24.5,30.5,Tithonian
