"species","x","y"
"reef",116.5,11.5
"reef",117.5,11.5
"reef",118.5,11.5
"reef",119.5,11.5
"reef",120.5,11.5
"reef",121.5,11.5
"reef",122.5,11.5
"reef",123.5,11.5
"reef",124.5,11.5
"reef",125.5,11.5
"reef",165.5,11.5
"reef",166.5,11.5
"reef",-85.5,10.5
"reef",-83.5,10.5
"reef",-75.5,10.5
"reef",-68.5,10.5
"reef",-67.5,10.5
"reef",-66.5,10.5
"reef",-65.5,10.5
"reef",-64.5,10.5
"reef",-63.5,10.5
"reef",-61.5,10.5
"reef",-60.5,10.5
"reef",72.5,10.5
"reef",73.5,10.5
"reef",92.5,10.5
"reef",97.5,10.5
"reef",98.5,10.5
"reef",99.5,10.5
"reef",107.5,10.5
"reef",108.5,10.5
"reef",113.5,10.5
"reef",114.5,10.5
"reef",116.5,10.5
"reef",117.5,10.5
"reef",118.5,10.5
"reef",119.5,10.5
"reef",120.5,10.5
"reef",121.5,10.5
"reef",122.5,10.5
"reef",123.5,10.5
"reef",124.5,10.5
"reef",125.5,10.5
"reef",139.5,10.5
"reef",169.5,10.5
"reef",-85.5,9.5
"reef",-84.5,9.5
"reef",-83.5,9.5
"reef",-82.5,9.5
"reef",-81.5,9.5
"reef",-79.5,9.5
"reef",-78.5,9.5
"reef",-77.5,9.5
"reef",76.5,9.5
"reef",78.5,9.5
"reef",79.5,9.5
"reef",80.5,9.5
"reef",92.5,9.5
"reef",97.5,9.5
"reef",98.5,9.5
"reef",99.5,9.5
"reef",100.5,9.5
"reef",102.5,9.5
"reef",103.5,9.5
"reef",104.5,9.5
"reef",113.5,9.5
"reef",114.5,9.5
"reef",116.5,9.5
"reef",117.5,9.5
"reef",118.5,9.5
"reef",119.5,9.5
"reef",121.5,9.5
"reef",122.5,9.5
"reef",123.5,9.5
"reef",124.5,9.5
"reef",125.5,9.5
"reef",138.5,9.5
"reef",139.5,9.5
"reef",160.5,9.5
"reef",165.5,9.5
"reef",169.5,9.5
"reef",170.5,9.5
"reef",-83.5,8.5
"reef",-82.5,8.5
"reef",-81.5,8.5
"reef",-80.5,8.5
"reef",-79.5,8.5
"reef",76.5,8.5
"reef",77.5,8.5
"reef",78.5,8.5
"reef",79.5,8.5
"reef",81.5,8.5
"reef",92.5,8.5
"reef",93.5,8.5
"reef",97.5,8.5
"reef",98.5,8.5
"reef",100.5,8.5
"reef",106.5,8.5
"reef",113.5,8.5
"reef",114.5,8.5
"reef",116.5,8.5
"reef",117.5,8.5
"reef",118.5,8.5
"reef",122.5,8.5
"reef",123.5,8.5
"reef",124.5,8.5
"reef",125.5,8.5
"reef",148.5,8.5
"reef",149.5,8.5
"reef",150.5,8.5
"reef",167.5,8.5
"reef",-82.5,7.5
"reef",-81.5,7.5
"reef",-80.5,7.5
"reef",72.5,7.5
"reef",79.5,7.5
"reef",81.5,7.5
"reef",93.5,7.5
"reef",98.5,7.5
"reef",99.5,7.5
"reef",109.5,7.5
"reef",110.5,7.5
"reef",113.5,7.5
"reef",114.5,7.5
"reef",116.5,7.5
"reef",117.5,7.5
"reef",118.5,7.5
"reef",122.5,7.5
"reef",123.5,7.5
"reef",124.5,7.5
"reef",125.5,7.5
"reef",134.5,7.5
"reef",146.5,7.5
"reef",148.5,7.5
"reef",149.5,7.5
"reef",151.5,7.5
"reef",152.5,7.5
"reef",168.5,7.5
"reef",171.5,7.5
"reef",72.5,6.5
"reef",73.5,6.5
"reef",79.5,6.5
"reef",80.5,6.5
"reef",81.5,6.5
"reef",93.5,6.5
"reef",99.5,6.5
"reef",100.5,6.5
"reef",115.5,6.5
"reef",116.5,6.5
"reef",117.5,6.5
"reef",118.5,6.5
"reef",120.5,6.5
"reef",121.5,6.5
"reef",122.5,6.5
"reef",123.5,6.5
"reef",124.5,6.5
"reef",125.5,6.5
"reef",126.5,6.5
"reef",157.5,6.5
"reef",158.5,6.5
"reef",72.5,5.5
"reef",73.5,5.5
"reef",80.5,5.5
"reef",95.5,5.5
"reef",100.5,5.5
"reef",102.5,5.5
"reef",103.5,5.5
"reef",114.5,5.5
"reef",115.5,5.5
"reef",116.5,5.5
"reef",117.5,5.5
