"collection_no","stage_bin","lng","lat","PLong","PLat","x","y","stage"
124722,"Serravallian",-70.833336,19.516666,-71.745079996,18.4476157560001,-71.745079996,18.4476157560001,"Serravallian"
56772,"Serravallian",37.083332,20.25,35.0256434120001,18.804716484,35.0256434120001,18.804716484,"Serravallian"
50928,"Serravallian",35.200001,24.416668,33.090366332,22.943088437,33.090366332,22.943088437,"Serravallian"
50927,"Serravallian",35.016666,24.799999,32.9025882490001,23.3237562240001,32.9025882490001,23.3237562240001,"Serravallian"
50926,"Serravallian",34.650002,25.5,32.5282978540001,24.018486314,32.5282978540001,24.018486314,"Serravallian"
50925,"Serravallian",34.299999,25.950001,32.1748781470001,24.4635408610001,32.1748781470001,24.4635408610001,"Serravallian"
50924,"Serravallian",34.216667,26.083332,32.090307529,24.595699428,32.090307529,24.595699428,"Serravallian"
50923,"Serravallian",34.183334,26.116667,32.0568205980001,24.62856874,32.0568205980001,24.62856874,"Serravallian"
34873,"Serravallian",33.583332,27.299999,31.4443833730001,25.8035384940001,31.4443833730001,25.8035384940001,"Serravallian"
50903,"Serravallian",33.366669,27.616667,31.225212304,26.1172414960001,31.225212304,26.1172414960001,"Serravallian"
197909,"Serravallian",35.166668,28.166668,33.1473368360001,25.8591994010001,33.1473368360001,25.8591994010001,"Serravallian"
197924,"Serravallian",35.166668,28.166668,33.1473368360001,25.8591994010001,33.1473368360001,25.8591994010001,"Serravallian"
197906,"Serravallian",35,28.5,33.010770591,26.2020886390001,33.010770591,26.2020886390001,"Serravallian"
70064,"Serravallian",138.199997,34.683334,136.528020042,36.7776138900001,136.528020042,36.7776138900001,"Serravallian"
70619,"Serravallian",0.216667,36.049999,-1.38333509099993,34.377399478,-1.38333509099993,34.377399478,"Serravallian"
62463,"Serravallian",31.1,37.166668,28.7553031320001,36.0689910680001,28.7553031320001,36.0689910680001,"Serravallian"
62464,"Serravallian",31.25,37.450001,28.9456160410001,36.335314182,28.9456160410001,36.335314182,"Serravallian"
34469,"Serravallian",4.116667,40.099998,1.76237348500007,39.013497671,1.76237348500007,39.013497671,"Serravallian"
70410,"Serravallian",2.966667,43.349998,0.489636698000027,42.2824629090001,0.489636698000027,42.2824629090001,"Serravallian"
70319,"Serravallian",3.033333,43.366669,0.554480770000055,42.300532854,0.554480770000055,42.300532854,"Serravallian"
70049,"Serravallian",23.366667,43.450001,20.60004145,42.8703284000001,20.60004145,42.8703284000001,"Serravallian"
70048,"Serravallian",24.549999,43.483334,21.7700610630001,42.9348499180001,21.7700610630001,42.9348499180001,"Serravallian"
70318,"Serravallian",3.166667,43.5,0.680227553000066,42.436623577,0.680227553000066,42.436623577,"Serravallian"
70317,"Serravallian",3.333333,43.533333,0.842651242000045,42.4734703680001,0.842651242000045,42.4734703680001,"Serravallian"
86909,"Serravallian",22.472778,44.75639,19.649867955,44.1524442520001,19.649867955,44.1524442520001,"Serravallian"
22969,"Serravallian",15.716667,46.5,12.890632824,45.7233533790001,12.890632824,45.7233533790001,"Serravallian"
34739,"Serravallian",18.916668,47.366669,15.999497987,46.66942999,15.999497987,46.66942999,"Serravallian"
78648,"Serravallian",27.333332,47.683334,24.2990688310001,47.2060711060001,24.2990688310001,47.2060711060001,"Serravallian"
78661,"Serravallian",27.316668,47.75,24.278644666,47.2722357910001,24.278644666,47.2722357910001,"Serravallian"
78647,"Serravallian",27.333332,47.783333,24.293178647,47.3059901600001,24.293178647,47.3059901600001,"Serravallian"
124259,"Serravallian",16.450001,47.833332,13.5428135170001,47.073925424,13.5428135170001,47.073925424,"Serravallian"
78643,"Serravallian",27.35,47.883331,24.303769355,47.4063560920001,24.303769355,47.4063560920001,"Serravallian"
78646,"Serravallian",27.25,47.950001,24.2008081390001,47.470284233,24.2008081390001,47.470284233,"Serravallian"
78664,"Serravallian",27.283333,47.966667,24.2328196340001,47.4878326850001,24.2328196340001,47.4878326850001,"Serravallian"
145900,"Serravallian",17.00111,48.168331,14.0673406280001,47.422388622,14.0673406280001,47.422388622,"Serravallian"
70569,"Serravallian",26.416668,49,23.312680072,48.4970868670001,23.312680072,48.4970868670001,"Serravallian"
66971,"Serravallian",25.9,49.599998,22.7644361710001,49.0827918140001,22.7644361710001,49.0827918140001,"Serravallian"
32515,"Serravallian",20.799999,50.466667,17.675400672,49.8151624990001,17.675400672,49.8151624990001,"Serravallian"
