"P.Long","P.Lat","interval_name"
-66.5,37.5,"Albian"
-65.5,36.5,"Albian"
-67.5,35.5,"Albian"
11.5,34.5,"Albian"
25.5,34.5,"Albian"
-54.5,33.5,"Albian"
11.5,33.5,"Albian"
30.5,33.5,"Albian"
70.5,31.5,"Albian"
61.5,26.5,"Albian"
28.5,25.5,"Albian"
-35.5,24.5,"Albian"
-60.5,22.5,"Albian"
32.5,16.5,"Albian"
33.5,8.5,"Albian"
21.5,34.5,"Maastrichtian"
0.5,32.5,"Maastrichtian"
-79.5,31.5,"Maastrichtian"
-79.5,27.5,"Maastrichtian"
50.5,8.5,"Maastrichtian"
49.5,7.5,"Maastrichtian"
49.5,6.5,"Maastrichtian"
44.5,-1.5,"Maastrichtian"
76.5,43.5,"Kimmeridgian"
48.5,37.5,"Kimmeridgian"
49.5,37.5,"Kimmeridgian"
50.5,37.5,"Kimmeridgian"
53.5,37.5,"Kimmeridgian"
54.5,37.5,"Kimmeridgian"
30.5,36.5,"Kimmeridgian"
31.5,36.5,"Kimmeridgian"
32.5,36.5,"Kimmeridgian"
45.5,36.5,"Kimmeridgian"
50.5,36.5,"Kimmeridgian"
36.5,35.5,"Kimmeridgian"
44.5,35.5,"Kimmeridgian"
21.5,34.5,"Kimmeridgian"
23.5,34.5,"Kimmeridgian"
40.5,33.5,"Kimmeridgian"
26.5,32.5,"Kimmeridgian"
34.5,31.5,"Kimmeridgian"
33.5,30.5,"Kimmeridgian"
22.5,29.5,"Kimmeridgian"
23.5,28.5,"Kimmeridgian"
23.5,27.5,"Kimmeridgian"
18.5,26.5,"Kimmeridgian"
6.5,24.5,"Kimmeridgian"
7.5,24.5,"Kimmeridgian"
6.5,22.5,"Kimmeridgian"
14.5,22.5,"Kimmeridgian"
14.5,21.5,"Kimmeridgian"
100.5,21.5,"Kimmeridgian"
14.5,20.5,"Kimmeridgian"
33.5,18.5,"Kimmeridgian"
34.5,18.5,"Kimmeridgian"
35.5,18.5,"Kimmeridgian"
35.5,17.5,"Kimmeridgian"
-1.5,16.5,"Kimmeridgian"
37.5,15.5,"Kimmeridgian"
10.5,14.5,"Kimmeridgian"
38.5,14.5,"Kimmeridgian"
-42.5,9.5,"Kimmeridgian"
42.5,6.5,"Kimmeridgian"
51.5,30.5,"Valanginian"
-36.5,27.5,"Valanginian"
33.5,17.5,"Valanginian"
-42.5,16.5,"Valanginian"
-33.5,-38.5,"Valanginian"
-33.5,-39.5,"Valanginian"
6.5,41.5,"Chattian"
-5.5,40.5,"Chattian"
15.5,35.5,"Chattian"
48.5,30.5,"Chattian"
-78.5,29.5,"Chattian"
-68.5,17.5,"Chattian"
125.5,17.5,"Chattian"
-88.5,16.5,"Chattian"
62.5,15.5,"Chattian"
-80.5,12.5,"Chattian"
-66.5,6.5,"Chattian"
108.5,-1.5,"Chattian"
-4.5,43.5,"Burdigalian"
-4.5,42.5,"Burdigalian"
-4.5,41.5,"Burdigalian"
-1.5,39.5,"Burdigalian"
5.5,39.5,"Burdigalian"
36.5,39.5,"Burdigalian"
135.5,38.5,"Burdigalian"
26.5,35.5,"Burdigalian"
28.5,35.5,"Burdigalian"
28.5,34.5,"Burdigalian"
30.5,34.5,"Burdigalian"
31.5,34.5,"Burdigalian"
28.5,33.5,"Burdigalian"
30.5,32.5,"Burdigalian"
53.5,27.5,"Burdigalian"
54.5,26.5,"Burdigalian"
56.5,26.5,"Burdigalian"
57.5,26.5,"Burdigalian"
-89.5,16.5,"Burdigalian"
-85.5,15.5,"Burdigalian"
-84.5,11.5,"Burdigalian"
-83.5,8.5,"Burdigalian"
117.5,4.5,"Burdigalian"
116.5,3.5,"Burdigalian"
115.5,2.5,"Burdigalian"
109.5,-4.5,"Burdigalian"
110.5,-5.5,"Burdigalian"
124.5,25.5,"Piacenzian"
132.5,24.5,"Piacenzian"
123.5,21.5,"Piacenzian"
-76.5,17.5,"Piacenzian"
-69.5,12.5,"Piacenzian"
-83.5,10.5,"Piacenzian"
-82.5,9.5,"Piacenzian"
128.5,-1.5,"Piacenzian"
129.5,-1.5,"Piacenzian"
120.5,-6.5,"Piacenzian"
9.5,41.5,"Rupelian"
10.5,41.5,"Rupelian"
11.5,37.5,"Rupelian"
-1.5,36.5,"Rupelian"
-5.5,34.5,"Rupelian"
-75.5,26.5,"Rupelian"
14.5,25.5,"Rupelian"
-69.5,18.5,"Rupelian"
6.5,40.5,"Langhian"
-2.5,38.5,"Langhian"
136.5,37.5,"Langhian"
28.5,36.5,"Langhian"
30.5,35.5,"Langhian"
31.5,29.5,"Langhian"
121.5,12.5,"Langhian"
123.5,12.5,"Langhian"
-84.5,11.5,"Langhian"
115.5,2.5,"Langhian"
6.5,42.5,"Priabonian"
7.5,42.5,"Priabonian"
10.5,41.5,"Priabonian"
10.5,40.5,"Priabonian"
21.5,40.5,"Priabonian"
22.5,40.5,"Priabonian"
-4.5,35.5,"Priabonian"
28.5,25.5,"Priabonian"
120.5,14.5,"Priabonian"
-80.5,12.5,"Priabonian"
-84.5,7.5,"Priabonian"
122.5,6.5,"Priabonian"
34.5,-15.5,"Priabonian"
40.5,37.5,"Barremian"
41.5,37.5,"Barremian"
