"collection_no","r_number","interval_name","max_ma","mid_ma","min_ma","lng","lat","P.Long","P.Lat","data_source","paleolng","paleolat"
NA,377,"Bajocian",170.3,169.3,168.3,-3,33,6.63375037000003,23.744822755,"PaleoReefDB",-1.74755647725092,27.0265495962266
"69860",669,"Messinian",7.246,6.29,5.333,-3,35.4167,-3.23680372399997,34.7993809060001,"PaleoReefDB",-3.19943237936086,35.3567953590328
"220703",4342,"Valanginian",139.8,136.35,132.9,-2.9123,37.8527,15.7656880110001,23.056929989,"PaleoReefDB",5.42049891233566,29.6441832389436
NA,1176,"Albian",113,106.75,100.5,-2.8167,42.95,11.533565781,33.6057514080001,"PaleoReefDB",4.12452751394176,31.6343575864933
"70889",3582,"Messinian",7.246,6.29,5.333,-2.65,35,-2.89620925099996,34.378906699,"PaleoReefDB",-2.85393317182196,34.9377383595859
"34624",406,"Kimmeridgian",157.3,154.7,152.1,-2.6333,42.2333,14.717925231,22.2654592420001,"PaleoReefDB",7.78141264316466,33.938438237205
"34733",662,"Tortonian",11.62,9.433,7.246,-2.35,37.35,-4.31869773799997,36.2962603920001,"PaleoReefDB",-3.10624064672737,37.5858988961871
NA,1177,"Albian",113,106.75,100.5,-2.3167,42.8833,11.9042817810001,33.398455945,"PaleoReefDB",4.49931222327309,31.4433090028805
"69787",666,"Tortonian",11.62,9.433,7.246,-2.2167,36.95,-4.17621251999998,35.898725981,"PaleoReefDB",-2.9682402991913,37.1868179672784
"34625",407,"Kimmeridgian",157.3,154.7,152.1,-2.15,41.7833,14.808213457,21.695853092,"PaleoReefDB",7.89257794128389,33.3701964777947
"34735",698,"Tortonian",11.62,9.433,7.246,-2.1333,37.3833,-4.10593496099995,36.3334014210001,"PaleoReefDB",-2.88921983903962,37.6206675946256
"34432",664,"Messinian",7.246,6.29,5.333,-2.1167,37.15,-2.67158670999993,36.7600311640001,"PaleoReefDB",-2.61697365767883,37.3123432992951
"68903",697,"Thanetian",59.2,57.6,56,-2.0833,42.85,-2.71598456199996,37.194948433,"PaleoReefDB",-2.48955219145617,37.5477435572345
"33572",348,"Sinemurian",199.3,195.05,190.8,-1.9833,32.5,1.64682900700006,21.950848163,"PaleoReefDB",-3.93356731376499,25.3220117321945
"68902",696,"Danian",66,63.8,61.6,-1.95,42.8667,-0.451181653999924,36.9487990650001,"PaleoReefDB",-0.869874562238848,36.4351179256168
NA,728,"Danian",66,63.8,61.6,-1.95,42.8667,-0.451181653999924,36.9487990650001,"PaleoReefDB",-0.869874562238848,36.4351179256168
"70929",3584,"Tortonian",11.62,9.433,7.246,-1.9333,34.6333,-3.33230593999997,33.174672769,"PaleoReefDB",-2.24558455024765,34.5331136308623
NA,2603,"Turonian",93.9,91.85,89.8,-1.9167,46.9167,3.31601304900005,41.0835612000001,"PaleoReefDB",-0.216390513931806,36.7839035979798
"34433",665,"Messinian",7.246,6.29,5.333,-1.8667,36.95,-2.42264126399994,36.560205314,"PaleoReefDB",-2.36502903621924,37.1134665472141
NA,457,"Bathonian",168.3,167.2,166.1,-1.7833,51.7333,19.0522606320001,33.8926704670001,"PaleoReefDB",8.63495519623017,40.701977062313
"33569",351,"Pliensbachian",190.8,186.75,182.7,-1.6667,32.5167,6.69669766000004,25.5830877060001,"PaleoReefDB",-2.32012841174463,25.3955792803774
NA,357,"Toarcian",182.7,178.4,174.1,-1.6667,34.25,6.11155505200003,25.627189549,"PaleoReefDB",-0.227891012843711,27.0487186120276
NA,376,"Bajocian",170.3,169.3,168.3,-1.6667,34.25,8.35930359400004,24.302468608,"PaleoReefDB",0.0423304112709735,27.5408479914832
"33568",3233,"Sinemurian",199.3,195.05,190.8,-1.6667,32.5167,1.93296824800007,21.917489932,"PaleoReefDB",-3.6544218217041,25.2334126869293
"70515",649,"Tortonian",11.62,9.433,7.246,-1.65,37.6833,-3.63776979099993,36.641963193,"PaleoReefDB",-2.40761380549582,37.9239228174869
"34612",500,"Kimmeridgian",157.3,154.7,152.1,-1.6167,40.3389,14.41214265,20.2428606660001,"PaleoReefDB",7.48093251577741,31.9114923460726
"34610",501,"Tithonian",152.1,148.55,145,-1.4167,40.15,14.1333376580001,19.2896855060001,"PaleoReefDB",7.24604607094242,32.0180712091077
"34613",502,"Kimmeridgian",157.3,154.7,152.1,-1.4,40.25,14.5186357260001,20.084025431,"PaleoReefDB",7.60164803252871,31.7543184111753
NA,378,"Bajocian",170.3,169.3,168.3,-1.3333,32.3333,7.62456027200005,22.486783776,"PaleoReefDB",2.0912231248042,25.660236632888
"69864",1979,"Messinian",7.246,6.29,5.333,-1.3333,35.1833,-1.58669318699998,34.5480605880001,"PaleoReefDB",-1.53650468710708,35.1121329789731
NA,3095,"Maastrichtian",72.1,69.05,66,-1.2667,38.5667,0.405893744000025,32.588086457,"PaleoReefDB",-1.33384619048954,30.6268968103391
NA,652,"Messinian",7.246,6.29,5.333,-1.1833,37.85,-1.74382629499996,37.460718382,"PaleoReefDB",-1.68649967029212,38.0164984251169
"70880",3578,"Messinian",7.246,6.29,5.333,-1.1667,35.55,-1.41560578399998,34.912965575,"PaleoReefDB",-1.36634310837046,35.4776970731981
"32017",1142,"Kimmeridgian",157.3,154.7,152.1,-1.1333,46.1,18.1348762060001,26.5185262370001,"PaleoReefDB",8.65205801387024,37.1348649137555
"70514",1835,"Tortonian",11.62,9.433,7.246,-1.1333,38.2167,-3.14356173799996,37.184538106,"PaleoReefDB",-1.89500301718229,38.4607765174982
"70067",1984,"Chattian",28.1,25.565,23.03,-1.1167,43.5667,-4.85013113799994,40.5994920800001,"PaleoReefDB",-3.41462171883838,43.2982181862725
"22968",1985,"Chattian",28.1,25.565,23.03,-1.05,43.75,-5.10790007699995,40.9626477510001,"PaleoReefDB",-3.35409592113344,43.4825898912777
"70203",3571,"Burdigalian",20.44,18.205,15.97,-1.05,43.7333,-4.39191013799996,41.9360342910001,"PaleoReefDB",-2.54779375317666,43.8429185482527
"69812",651,"Messinian",7.246,6.29,5.333,-1.0167,38,-1.57829193999993,37.610851822,"PaleoReefDB",-1.52059448050968,38.167235079444
NA,2600,"Cenomanian",100.5,97.2,93.9,-1.0167,45.9667,5.25719069000007,39.856250635,"PaleoReefDB",0.810296931985303,35.0140713801824
"70786",899,"Messinian",7.246,6.29,5.333,-0.8333,35.5833,-1.08432373099993,34.942748796,"PaleoReefDB",-1.03292074665228,35.5087497259414
"69835",650,"Messinian",7.246,6.29,5.333,-0.6833,38.2833,-1.24703120499993,37.8944286770001,"PaleoReefDB",-1.18845955106133,38.4520053140086
NA,1998,"Aquitanian",23.03,21.735,20.44,-0.6667,38.25,-3.94758371999995,35.9331634760001,"PaleoReefDB",-2.34135185028909,38.2842518863717
"70191",1988,"Burdigalian",20.44,18.205,15.97,-0.65,44.6333,-4.04810085399993,42.8458699400001,"PaleoReefDB",-2.16617089836677,44.7471696793326
"70222",3572,"Burdigalian",20.44,18.205,15.97,-0.6333,44.8333,-4.04197160299998,43.046171244,"PaleoReefDB",-2.15376049891636,44.9473279249428
"70232",3573,"Aquitanian",23.03,21.735,20.44,-0.6,44.7333,-4.37175421299997,42.5470046570001,"PaleoReefDB",-2.46796641803606,44.705399519492
"70887",3580,"Messinian",7.246,6.29,5.333,-0.6,35.3333,-0.856794699999966,34.690323322,"PaleoReefDB",-0.80238059890629,35.2571879648214
"69841",900,"Messinian",7.246,6.29,5.333,-0.5167,38.2,-1.08119816799996,37.811272058,"PaleoReefDB",-1.02087613687979,38.3694414120772
"70242",3574,"Aquitanian",23.03,21.735,20.44,-0.5167,44.3667,-4.27141801299996,42.183104245,"PaleoReefDB",-2.37519057396963,44.339962616083
"22784",2637,"Oxfordian",163.5,160.4,157.3,-0.5,54.3333,15.439144508,35.5465539580001,"PaleoReefDB",9.07759741835089,44.8671619799034
NA,670,"Langhian",15.97,14.895,13.82,-0.4,39.4833,-2.97556632699997,38.0484224480001,"PaleoReefDB",-1.56945046489241,39.6596895214386
NA,4003,"Priabonian",38,35.95,33.9,-0.35,38.6833,-4.20625265599995,35.586177133,"PaleoReefDB",-3.06240122270181,37.7697931582736
"70882",3579,"Messinian",7.246,6.29,5.333,-0.2,35.4833,-0.457643024999925,34.836141642,"PaleoReefDB",-0.40126119306894,35.4044935185046
"38738",3326,"Bathonian",168.3,167.2,166.1,-0.1333,48.9667,21.5005158640001,31.6050243870001,"PaleoReefDB",10.3239751288446,38.0453584459976
NA,397,"Oxfordian",163.5,160.4,157.3,-0.05,51.2667,17.130469915,32.8041239180001,"PaleoReefDB",9.71555619569214,41.8236619932225
"4852",3173,"Oxfordian",163.5,160.4,157.3,0.0333,49.3333,18.10912689,30.945497071,"PaleoReefDB",9.94253586091377,39.8971612368313
"38740",3325,"Bathonian",168.3,167.2,166.1,0.0333,48.8167,21.6854337990001,31.506694898,"PaleoReefDB",10.4803870083765,37.906445784727
"56708",2842,"Hauterivian",132.9,131.15,129.4,0.05,40.4667,21.1752994560001,25.5189961340001,"PaleoReefDB",9.59678088497228,30.6132977147294
"56707",3364,"Hauterivian",132.9,131.15,129.4,0.05,40.4667,21.1752994560001,25.5189961340001,"PaleoReefDB",9.59678088497228,30.6132977147294
NA,3536,"Aptian",125,119,113,0.05,40.0667,19.643134843,28.615393125,"PaleoReefDB",9.84106257481003,29.1484928024339
NA,3551,"Aptian",125,119,113,0.05,40.0667,19.643134843,28.615393125,"PaleoReefDB",9.84106257481003,29.1484928024339
"70619",668,"Serravallian",13.82,12.72,11.62,0.0833,35.9,-1.51474812499993,34.227853141,"PaleoReefDB",-0.36193979057194,35.6640851634759
NA,2604,"Turonian",93.9,91.85,89.8,0.1333,45.65,5.34109860500007,39.9690355170001,"PaleoReefDB",1.53771766132551,35.5168918194239
"77000",3662,"Ypresian",56,51.9,47.8,0.5167,42.3833,-2.93406373599993,37.3413567470001,"PaleoReefDB",-0.660679878019685,37.9212487585687
"77001",3663,"Ypresian",56,51.9,47.8,0.55,42.3167,-2.90020518799997,37.2756607360001,"PaleoReefDB",-0.632627550607608,37.8537871668639
"66983",3474,"Santonian",86.3,84.95,83.6,0.9,42.1667,4.69310802300004,35.3232498770001,"PaleoReefDB",3.19120399301777,31.0683802244794
"66963",3110,"Coniacian",89.8,88.05,86.3,0.9333,42.2333,5.67360744100006,35.3320126730001,"PaleoReefDB",3.02108852347929,30.9775834293526
"67084",2625,"Campanian",83.6,77.85,72.1,0.95,42.25,4.03806317300007,35.578116482,"PaleoReefDB",3.16327165093242,31.8216896967328
NA,969,"Tortonian",11.62,9.433,7.246,1.5,41.1667,-0.63944864299998,40.1823898820001,"PaleoReefDB",0.71487417577584,41.4280577584164
NA,889,"Tortonian",11.62,9.433,7.246,1.5333,38.6667,-0.52740294299997,37.683778488,"PaleoReefDB",0.670882076905518,39.1782142372628
"69638",2172,"Lutetian",47.8,44.55,41.3,1.6,41.5833,-2.46744252399998,38.2502614410001,"PaleoReefDB",-0.694540075803852,38.8226272937814
"70411",1999,"Burdigalian",20.44,18.205,15.97,1.75,41.3167,-1.44092691999992,39.502376946,"PaleoReefDB",0.305879773599759,41.4569398208287
"20816",2768,"Danian",66,63.8,61.6,1.9333,49.0833,2.23387508000008,43.242307,"PaleoReefDB",1.9803453843193,42.3372436112895
"34480",3659,"Lutetian",47.8,44.55,41.3,2.3,41.9333,-1.81893208199995,38.62055243,"PaleoReefDB",-0.0261314501069271,39.1766491464521
"34480",688,"Bartonian",41.3,39.65,38,2.3333,41.95,-1.70199158999998,39.052920568,"PaleoReefDB",-0.721164963467991,40.4250706849183
NA,2610,"Turonian",93.9,91.85,89.8,2.5,42.8333,7.98536276400006,35.664228501,"PaleoReefDB",3.61242845408044,32.7138163125828
"69855",679,"Tortonian",11.62,9.433,7.246,2.7833,39.4167,0.68202696700007,38.4574208180001,"PaleoReefDB",1.77205465362833,40.0645624389664
"79373",3710,"Kimmeridgian",157.3,154.7,152.1,2.8333,34.1,10.357899935,14.377642253,"PaleoReefDB",6.89956308737441,25.3263766777066
