"stage","LPT_Nx","LPT_Ny","LPT_Sx","LPT_Sy","MaxSSS_Nx","MaxSSS_Ny","MaxSSS_Sx","MaxSSS_Sy"
"Piacenzian",33.9637262352164,15.9428718107188,90.9381399233895,-16.1735385278297,34.6747724300024,14.8406038008287,90.6139788346594,-15.1559377796382
"Pliensbachian",47.3339684463928,27.4480473527205,54.6350514916839,-18.8994837690177,48.7001047125701,26.4513207959612,60.5036642458263,-17.3935701016647
"Priabonian",28.3293257872709,22.8923154182203,66.8516131699912,-23.945980836033,29.328121166667,21.8279460583462,67.5136992589231,-23.4479311962601
"Rhaetian",24.9438276236134,23.3883625606726,64.8534892211382,-14.4142614149202,25.375191552866,22.7546790668591,68.1977680313699,-13.6051503482652
"Rupelian",15.6046081327404,21.2231251135843,72.4052022448391,-22.3528927310625,15.9655562459373,20.6571137793416,72.0494245670812,-21.9192083717395
"Santonian",10.6911855769845,23.1337237625521,46.157051358421,-23.2196947065715,10.8085485343641,22.2673389178678,46.4277717161504,-22.7872187033738
"Selandian",16.9703146992809,20.9083602782281,62.8145265203785,-19.4779783192503,16.8303390638064,19.960182632179,61.9499932012057,-17.4462497071564
"Serravallian",12.1163704958326,17.9157030940642,77.9720017779556,-18.0231490409486,11.6986004152565,16.7201177123943,77.4154950559659,-16.9766540561181
"Sinemurian",41.0890895743336,29.899169492475,61.3481794745492,-16.7395269722137,39.702326631867,28.8477157889698,69.692826355821,-15.686765403536
"Thanetian",20.5680006911315,19.8568072900302,59.5197856483686,-19.602980689039,20.2841979369279,18.9256253861591,58.7970453564082,-17.9074953279225
"Tithonian",44.3044941587618,23.8274303518804,47.5153619026076,-21.8965871137732,44.257947299059,23.0415428610268,40.843008560161,-20.0054739118204
"Toarcian",51.9353902585918,26.2522032131793,46.5914731546427,-18.2913832993371,55.0559157868438,25.2658745690781,38.3678453514822,-15.7815330994235
"Tortonian",21.8084501094584,15.94209906897,82.4038917956442,-20.0227258629501,23.7716547513288,14.5573320107752,82.2048901079339,-18.3368931858117
"Turonian",7.78631686987777,22.2426154105515,40.7722329413332,-23.4330358707328,7.24111676406294,21.3397869336557,38.9722685103158,-22.3359403697519
"Valanginian",30.0912086796965,19.3815153135989,39.521456026974,-22.2308740002062,29.1537335176768,18.8974812810329,40.0509873103757,-20.8617678743858
"Ypresian",26.3149742454165,20.3831053295259,64.3956601649854,-23.1413617507376,26.4744664812394,19.7078350889684,64.6598227544803,-21.970379234152
"Zanclean",29.1085386038387,16.2088123275416,95.1583374510634,-17.7371712403928,30.8648909714077,15.3804167948529,95.058397486796,-16.64753337544
